hsa-miR-617,NTRK3
hsa-miR-345-5p,NTRK3
hsa-miR-384,NTRK3
hsa-miR-330-3p,NTRK3
hsa-miR-198,NTRK3
hsa-miR-625-5p,NTRK3
hsa-miR-509-3p,NTRK3
hsa-miR-19b-3p,BMPR2
hsa-miR-19a-3p,BMPR2
hsa-miR-17-5p,BMPR2
hsa-miR-31-5p,ITGA5
hsa-miR-562,MET
hsa-miR-562,PSEN1
hsa-miR-17-3p,VIM
hsa-miR-192-5p,CDKN1B
hsa-miR-190a-5p,CDKN1B
hsa-miR-218-5p,CDKN1B
hsa-miR-125a-5p,ERBB2
hsa-miR-30a-5p,MBNL1
hsa-miR-17-5p,CCND1
hsa-miR-221-3p,ESR1
hsa-miR-199a-5p,EDN1
hsa-miR-137,CDC42
hsa-miR-26b-5p,EPHA2
hsa-miR-29c-3p,FGG
hsa-miR-29c-3p,FGB
hsa-miR-29c-3p,FGA
hsa-miR-144-3p,FGA
hsa-miR-144-3p,FGB
hsa-miR-29a-3p,FGA
hsa-miR-29a-3p,FGB
hsa-miR-29b-3p,FGA
hsa-miR-29b-3p,FGB
hsa-miR-183-5p,PDCD4
hsa-miR-205-5p,IL24
hsa-miR-21-5p,TIAM1
hsa-miR-29b-3p,COL3A1
hsa-miR-29b-3p,COL4A1
hsa-miR-146a-5p,FAS
hsa-miR-17-5p,SMAD4
hsa-miR-19a-3p,SMAD4
hsa-miR-154-5p,DICER1
hsa-miR-145-5p,MYRF
hsa-miR-145-5p,CPEB4
hsa-miR-145-5p,FZD7
hsa-miR-138-5p,IGF1R
hsa-miR-31-5p,ICAM1
hsa-miR-17-5p,ICAM1
hsa-miR-155-5p,ICAM1
hsa-miR-1256,ICAM1
hsa-miR-17-5p,SELE
hsa-miR-17-3p,SELE
hsa-miR-155-5p,SELE
hsa-miR-221-3p,SELE
hsa-miR-222-3p,SELE
hsa-miR-1256,SELE
hsa-miR-151a-3p,ZNF763
hsa-miR-150-5p,IGF2
hsa-miR-181a-5p,BCL2L11
hsa-miR-204-5p,CDX2
hsa-miR-204-5p,IL11
hsa-miR-17-5p,CCND2
hsa-miR-17-5p,E2F3
hsa-miR-17-5p,RB1
hsa-miR-17-5p,RBL1
hsa-miR-17-5p,WEE1
hsa-miR-20a-5p,CCND2
hsa-miR-20a-5p,E2F3
hsa-miR-20a-5p,MAPK9
hsa-miR-20a-5p,RB1
hsa-miR-20a-5p,RBL1
hsa-miR-20a-5p,RBL2
hsa-miR-20a-5p,WEE1
hsa-miR-106b-5p,CCND1
hsa-miR-106b-5p,CCND2
hsa-miR-106b-5p,E2F3
hsa-miR-106b-5p,MAPK9
hsa-miR-106b-5p,RBL1
hsa-miR-106b-5p,RBL2
hsa-miR-106b-5p,WEE1
hsa-miR-144-3p,NOTCH1
hsa-miR-199a-5p,MAP3K11
hsa-miR-22-3p,RGS2
hsa-miR-21-5p,PTX3
hsa-miR-21-5p,TNFAIP3
hsa-miR-21-5p,CCR1
hsa-miR-151a-3p,NTRK3
hsa-miR-185-5p,NTRK3
hsa-miR-30c-5p,SERPINE1
hsa-miR-301a-3p,SERPINE1
hsa-miR-99a-5p,SERPINE1
hsa-miR-18a-5p,ATM
hsa-miR-101-3p,STMN1
hsa-miR-29a-3p,SPARC
hsa-miR-302a-3p,DAZAP2
hsa-miR-302a-3p,SLAIN1
hsa-miR-302a-3p,TOB2
hsa-miR-223-3p,IGF1R
hsa-miR-29a-3p,NASP
hsa-miR-195-5p,CDK4
hsa-miR-34a-5p,IMPA1
hsa-miR-34a-5p,IMPDH2
hsa-miR-211-5p,CDH5
hsa-miR-130a-3p,DICER1
hsa-miR-130a-3p,ATG2B
hsa-miR-34a-3p,XIAP
hsa-miR-449a,HNF4A
hsa-miR-34c-5p,HNF4A
hsa-miR-766-3p,HNF4A
hsa-miR-34b-5p,HNF4A
hsa-miR-765,HNF4A
hsa-miR-155-5p,CSNK1A1
hsa-miR-203a-3p,E2F3
hsa-miR-203a-3p,ZNF148
hsa-miR-130b-3p,UVRAG
hsa-miR-181b-5p,SIRT1
hsa-miR-19b-1-5p,KDR
hsa-miR-19b-1-5p,CASP8
hsa-miR-19b-1-5p,ITGB8
hsa-miR-23a-3p,PPARGC1A
hsa-miR-23a-3p,G6PC
hsa-miR-520b,MAP3K2
hsa-miR-520b,CCND1
hsa-miR-212-3p,PTCH1
hsa-miR-10b-5p,PIEZO1
hsa-miR-182-5p,MTSS1
hsa-miR-143-3p,HK2
hsa-miR-210-3p,AIFM3
hsa-miR-145-5p,IRS2
hsa-miR-20b-5p,EFNB2
hsa-miR-20b-5p,EPHB4
hsa-miR-451a,MYC
hsa-miR-143-3p,FHIT
hsa-miR-217,FHIT
hsa-miR-331-3p,FHIT
hsa-miR-625-5p,FHIT
hsa-miR-181b-5p,CBX7
hsa-let-7i-5p,SOCS1
hsa-miR-221-3p,DICER1
hsa-miR-222-3p,DICER1
hsa-miR-29a-3p,DICER1
hsa-miR-29a-3p,TNFAIP3
hsa-miR-29c-3p,COL7A1
hsa-miR-29c-3p,COL21A1
hsa-miR-29c-3p,TFAP2C
hsa-miR-29c-3p,WNT4
hsa-miR-29c-3p,IGFBP1
hsa-miR-26a-5p,ESR1
hsa-miR-193a-3p,PRAP1
hsa-miR-181a-5p,PRAP1
hsa-let-7c-5p,MPL
hsa-let-7e-5p,MPL
hsa-let-7a-5p,MPL
hsa-let-7d-5p,MPL
hsa-let-7f-5p,MPL
hsa-miR-98-5p,MPL
hsa-miR-28-5p,N4BP1
hsa-miR-708-3p,N4BP1
hsa-miR-151a-5p,N4BP1
hsa-miR-28-5p,OTUB1
hsa-miR-708-3p,OTUB1
hsa-miR-28-5p,TEX261
hsa-miR-708-3p,TEX261
hsa-miR-28-5p,MAPK1
hsa-miR-28-5p,E2F6
hsa-miR-151a-5p,E2F6
hsa-miR-296-5p,SCRIB
hsa-miR-200b-3p,VEGFA
hsa-miR-124-3p,AR
hsa-miR-29a-3p,CDC42
hsa-miR-320a,AQP1
hsa-miR-320a,AQP4
hsa-miR-633,TGFB1
hsa-miR-125b-5p,BCL3
hsa-miR-449a,WISP2
hsa-miR-200b-3p,RND3
hsa-miR-210-3p,CASP8AP2
hsa-miR-200c-3p,ERRFI1
hsa-miR-125b-5p,TBC1D1
hsa-miR-125b-5p,DGAT1
hsa-miR-10a-5p,SRSF1
hsa-miR-10a-5p,TRA2B
hsa-miR-10b-5p,TRA2B
hsa-miR-10b-5p,SRSF1
hsa-miR-183-5p,EGR1
hsa-miR-29a-3p,NAV3
hsa-miR-29a-3p,BCL7A
hsa-miR-29a-3p,ITIH5
hsa-miR-106b-5p,EOMES
hsa-miR-191-5p,MDM4
hsa-miR-296-5p,IKBKE
hsa-miR-768-5p,NTRK3
hsa-miR-214-3p,QKI
hsa-miR-16-5p,NCOR2
hsa-miR-142-3p,ARNTL
hsa-miR-132-3p,HBEGF
hsa-miR-129-5p,UBE2F
hsa-miR-129-2-3p,UBE2F
hsa-miR-200a-3p,CCNE2
hsa-miR-200b-3p,CCNE2
hsa-miR-200c-3p,CCNE2
hsa-miR-378a-3p,MSC
hsa-miR-155-5p,IL13RA1
hsa-miR-141-3p,NR0B2
hsa-miR-125b-5p,ARID3B
hsa-miR-663a,TCEAL1
hsa-miR-16-1-3p,CCNE1
hsa-miR-19b-3p,PRKAA1
hsa-miR-19b-3p,PPP2R5E
hsa-miR-138-5p,HIF1A
hsa-miR-22-3p,PTEN
hsa-miR-25-3p,PTEN
hsa-miR-15b-5p,AXIN2
hsa-miR-16-5p,AXIN2
hsa-miR-107,AXIN2
hsa-miR-29b-3p,GSK3B
hsa-miR-20a-5p,PPARG
hsa-miR-20a-5p,BAMBI
hsa-miR-20a-5p,CRIM1
hsa-miR-143-3p,PTGS2
hsa-miR-378a-3p,CYP19A1
hsa-miR-125a-3p,GPC4
hsa-miR-200c-3p,TIMP2
hsa-miR-200c-3p,FBLN5
hsa-miR-200c-3p,VEGFA
hsa-miR-20a-5p,MAP2K3
hsa-miR-200c-3p,NCAM1
hsa-miR-145-5p,ESR1
hsa-miR-375,SP1
hsa-miR-124-3p,ROCK1
hsa-miR-7-5p,PIK3CD
hsa-miR-199a-5p,CD44
hsa-miR-503-5p,CD40
hsa-miR-135a-5p,HOXA10
hsa-miR-338-3p,CCND1
hsa-miR-32-5p,TRAF3
hsa-miR-7-5p,HOXB3
hsa-miR-218-5p,HOXB3
hsa-miR-100-5p,FLT1
hsa-miR-181a-5p,FOS
hsa-miR-518b,RAP1B
hsa-miR-203a-3p,SOCS6
hsa-miR-203a-3p,TNF
hsa-miR-203a-3p,IL24
hsa-miR-762,AMD1
hsa-miR-429,OSTF1
hsa-miR-138-5p,CASP3
hsa-miR-136-5p,MTDH
hsa-miR-136-5p,BCL2
hsa-miR-34a-5p,CCL22
hsa-miR-16-5p,PIM1
hsa-miR-181a-5p,MTMR3
hsa-miR-34a-5p,KLB
hsa-miR-214-3p,TP53
hsa-miR-200c-3p,IKBKB
hsa-miR-125b-5p,ABTB1
hsa-miR-330-3p,SH3GL2
hsa-miR-10b-5p,TP53
hsa-miR-10b-5p,NOTCH1
hsa-miR-10b-5p,PAX6
hsa-miR-155-5p,BCL6
hsa-miR-498,TERT
hsa-miR-181d-5p,MGMT
hsa-miR-181a-5p,KLF6
hsa-miR-139-5p,IGF1R
hsa-let-7f-5p,CYP19A1
hsa-miR-125a-5p,HK2
hsa-miR-148a-3p,ACVR1
hsa-miR-181a-5p,MCL1
hsa-miR-181a-5p,XIAP
hsa-miR-181b-5p,XIAP
hsa-miR-181b-5p,MCL1
hsa-miR-127-3p,KMT5A
hsa-miR-137,ESRRA
hsa-miR-155-5p,MITF
hsa-miR-148a-3p,BCL2
hsa-miR-24-2-5p,BCL2
hsa-miR-21-5p,FASLG
hsa-miR-125b-5p,MMP13
hsa-miR-103a-3p,TIMP3
hsa-miR-130a-3p,IFITM1
hsa-miR-195-5p,CDC42
hsa-miR-662,ING1
hsa-miR-21-5p,SOD3
hsa-miR-15a-5p,PURA
hsa-miR-194-5p,TLN2
hsa-miR-15b-5p,PURA
hsa-miR-20a-5p,PURA
hsa-miR-93-5p,PURA
hsa-miR-106b-5p,PURA
hsa-miR-23b-3p,VHL
hsa-miR-122-5p,PTPN1
hsa-miR-24-3p,ZNF217
hsa-miR-199a-5p,SMAD4
hsa-miR-149-5p,SP1
hsa-miR-150-5p,NOTCH3
hsa-miR-148a-3p,TMED7
hsa-miR-200c-3p,PMAIP1
hsa-miR-376a-3p,CDK2
hsa-miR-376a-3p,AGO2
hsa-miR-10a-5p,CHL1
hsa-miR-199b-5p,HIF1A
hsa-miR-211-5p,IL11
hsa-miR-27a-3p,WDR77
hsa-miR-379-5p,IL11
hsa-miR-10b-5p,MAPRE1
hsa-miR-615-3p,LCOR
hsa-miR-29a-3p,PTEN
hsa-miR-140-5p,DNPEP
hsa-miR-140-5p,SOX2
hsa-miR-29b-3p,TBX21
hsa-miR-29b-3p,IFNG
hsa-miR-9-5p,SOCS5
hsa-miR-199a-5p,SULT1E1
hsa-miR-23b-3p,TAB3
hsa-miR-23b-3p,TAB2
hsa-miR-23b-3p,CHUK
hsa-miR-218-5p,DKK2
hsa-miR-218-5p,TOB1
hsa-miR-23b-3p,SRC
hsa-miR-370-3p,NF1
hsa-miR-150-5p,FLT3
hsa-miR-30d-5p,GPR78
hsa-miR-181a-5p,GPR78
hsa-miR-199a-5p,GPR78
hsa-miR-137,ZNF804A
hsa-miR-10b-5p,SDC1
hsa-miR-122-5p,NT5C3A
hsa-miR-122-5p,P4HA1
hsa-miR-21-5p,TCF21
hsa-miR-223-3p,HSP90B1
hsa-miR-150-5p,EP300
hsa-miR-133a-3p,VKORC1
hsa-miR-137,YBX1
hsa-miR-320a,MAPK1
hsa-miR-145-5p,ERG
hsa-miR-200c-3p,NTF3
hsa-miR-23b-3p,PTEN
hsa-miR-29b-3p,DUSP2
hsa-miR-155-5p,MAP3K10
hsa-miR-98-5p,CCNJ
hsa-miR-204-5p,ALPL
hsa-miR-204-5p,SOST
hsa-miR-19a-3p,SUZ12
hsa-miR-19a-3p,RAB13
hsa-miR-19a-3p,MSMO1
hsa-miR-19a-3p,ABCA1
hsa-miR-19a-3p,PSAP
hsa-miR-27a-3p,ABCA1
hsa-miR-27a-3p,PDS5B
hsa-miR-133b,CDK13
hsa-miR-133b,PTPRK
hsa-miR-133b,RB1CC1
hsa-miR-133b,CPNE3
hsa-miR-130a-3p,SMAD4
hsa-miR-498,KRTAP5-9
hsa-miR-320d,RBFOX2
hsa-miR-498,RBFOX2
hsa-miR-23a-3p,PTPN11
hsa-miR-107,CHRM1
hsa-miR-217,SMAD7
hsa-miR-216a-5p,SMAD7
hsa-miR-182-5p,PDCD4
hsa-miR-132-3p,CRK
hsa-miR-132-3p,TJAP1
hsa-miR-195-5p,CHUK
hsa-miR-195-5p,TAB3
hsa-miR-302a-3p,AKT1
hsa-miR-302b-3p,AKT1
hsa-miR-302c-3p,AKT1
hsa-miR-302d-3p,AKT1
hsa-miR-192-5p,ATP1B1
hsa-miR-34c-5p,MAPT
hsa-miR-34a-5p,PPP1R10
hsa-miR-29a-3p,ABL1
hsa-miR-182-5p,PFN1
hsa-miR-375,MAP3K8
hsa-miR-214-3p,ATF4
hsa-miR-30c-5p,VIM
hsa-miR-30c-5p,TWF1
hsa-miR-1-3p,PRKCE
hsa-miR-181a-3p,NANOG
hsa-miR-206,CCND2
hsa-miR-30a-5p,PRDM1
hsa-miR-195-5p,MBD1
hsa-miR-22-3p,RCOR1
hsa-miR-181c-5p,BMPR2
hsa-miR-1-3p,SOX9
hsa-miR-503-5p,VEGFA
hsa-miR-433-3p,RUNX2
hsa-miR-182-5p,SNAI2
hsa-miR-203a-3p,SNAI2
hsa-miR-559,FXN
hsa-miR-589-5p,FXN
hsa-miR-1270,FXN
hsa-miR-620,FXN
hsa-miR-522-3p,FXN
hsa-miR-299-3p,FXN
hsa-miR-506-3p,FXN
hsa-miR-124-3p,FXN
hsa-miR-624-3p,FXN
hsa-miR-195-5p,CCNE1
hsa-miR-30a-5p,SEPT7
hsa-miR-181b-5p,IGF1R
hsa-miR-545-3p,SNAI2
hsa-miR-630,SNAI2
hsa-miR-25-3p,SMAD7
hsa-miR-383-5p,IGF1R
hsa-miR-145-5p,CTGF
hsa-miR-145-5p,SOCS7
hsa-miR-301a-3p,SMAD4
hsa-miR-132-3p,TLN2
hsa-miR-375,FZD8
hsa-miR-143-3p,MDM2
hsa-miR-145-5p,MDM2
hsa-miR-663a,HSPG2
hsa-miR-23a-3p,HMGN2
hsa-miR-126-5p,ADAM9
hsa-miR-126-5p,MMP7
hsa-miR-126-3p,MMP7
hsa-miR-106a-5p,CYP19A1
hsa-miR-19b-3p,CYP19A1
hsa-miR-19b-3p,GCM1
hsa-miR-138-5p,RELN
hsa-miR-145-5p,ADAM17
hsa-miR-30a-5p,AVEN
hsa-miR-30a-5p,FOXD1
hsa-miR-378a-3p,GRB2
hsa-miR-124-3p,MECP2
hsa-miR-30b-3p,RORC
hsa-miR-196b-5p,CD8A
hsa-miR-409-3p,IFNG
hsa-miR-31-5p,PRKCE
hsa-miR-18b-5p,MDM2
hsa-miR-200a-3p,SMAD2
hsa-miR-200a-3p,SMAD3
hsa-miR-182-5p,RECK
hsa-miR-135b-5p,CASR
hsa-miR-16-5p,UNG
hsa-miR-34c-5p,UNG
hsa-miR-199a-5p,UNG
hsa-miR-383-5p,PRDX3
hsa-miR-182-5p,SMAD4
hsa-miR-145-5p,HDAC2
hsa-miR-449c-5p,MYC
hsa-miR-144-3p,NFE2L2
hsa-miR-142-5p,NFE2L2
hsa-miR-27a-3p,NFE2L2
hsa-miR-148b-3p,ITGA5
hsa-miR-148b-3p,ROCK1
hsa-miR-148b-3p,PIK3CA
hsa-miR-148b-3p,NRAS
hsa-miR-148b-3p,CSF1
hsa-miR-31-5p,STK40
hsa-miR-363-3p,PDPN
hsa-miR-17-5p,TCF3
hsa-miR-200b-3p,SMAD2
hsa-miR-128-3p,SIRT1
hsa-miR-616-3p,PON1
hsa-miR-9-5p,FOXO3
hsa-miR-31-5p,MCM2
hsa-miR-31-5p,CDK1
hsa-miR-22-3p,SP1
hsa-miR-182-5p,FOXF2
hsa-miR-138-5p,SOX4
hsa-miR-26a-5p,NOS2
hsa-miR-27a-3p,EGFR
hsa-miR-433-3p,CFTR
hsa-miR-509-3p,CFTR
hsa-miR-215-5p,CTNNBIP1
hsa-miR-9-5p,CCND1
hsa-miR-140-5p,OSTM1
hsa-miR-26a-5p,IL6
hsa-miR-101-3p,FMR1
hsa-miR-129-5p,FMR1
hsa-miR-221-3p,FMR1
hsa-miR-140-5p,FGF9
hsa-miR-140-5p,TGFBR1
hsa-miR-126-5p,CXCL12
hsa-miR-126-3p,CXCL12
hsa-miR-133b,PRDM16
hsa-miR-133a-3p,PRDM16
hsa-miR-130b-3p,DICER1
hsa-miR-502-5p,KMT5A
hsa-miR-193b-3p,MYB
hsa-miR-335-5p,TRIM29
hsa-miR-331-3p,PHLPP1
hsa-miR-130b-3p,SMAD4
hsa-miR-130b-3p,ZBTB4
hsa-miR-206,GJA1
hsa-miR-186-5p,FGF2
hsa-miR-146a-5p,STAT1
hsa-miR-9-5p,STMN1
hsa-miR-143-3p,MMP13
hsa-miR-125b-5p,EPO
hsa-miR-124-3p,KLF6
hsa-miR-204-5p,HMGA2
hsa-miR-34a-5p,LDHA
hsa-miR-7-5p,SIRT2
hsa-miR-148a-3p,PBXIP1
hsa-miR-103a-3p,RAD51
hsa-miR-101-3p,VEGFA
hsa-miR-93-5p,STK11
hsa-miR-93-5p,PHLPP2
hsa-miR-33a-5p,HIF1A
hsa-miR-30a-5p,MTDH
hsa-miR-29a-3p,COL3A1
hsa-miR-27a-3p,PLAG1
hsa-miR-27a-3p,TP53
hsa-miR-26b-5p,PLOD2
hsa-miR-24-3p,PAK4
hsa-miR-21-5p,TGFB2
hsa-miR-21-5p,FBXO11
hsa-miR-19b-3p,SMAD4
hsa-miR-16-5p,MTOR
hsa-let-7f-5p,CCND1
hsa-miR-185-5p,AR
hsa-miR-92b-3p,NLK
hsa-miR-31-5p,MLH1
hsa-miR-9-3p,ITGB1
hsa-miR-145-5p,NANOG
hsa-miR-151a-3p,CCNE1
hsa-miR-21-5p,BCL6
hsa-miR-17-3p,GALNT7
hsa-miR-24-3p,PTPN9
hsa-miR-24-3p,PTPRF
hsa-miR-17-5p,SIRPA
hsa-miR-20a-5p,SIRPA
hsa-miR-106a-5p,SIRPA
hsa-miR-146a-5p,L1CAM
hsa-let-7a-5p,HAS2
hsa-miR-145-5p,MYO5A
hsa-miR-1-3p,SP1
hsa-miR-29a-3p,HBP1
hsa-miR-125b-5p,NES
hsa-let-7a-5p,EGFR
hsa-miR-24-3p,SH3PXD2A
hsa-miR-24-3p,ARHGAP19
hsa-miR-214-3p,PSMD10
hsa-miR-214-3p,ASF1B
hsa-miR-33a-5p,PTHLH
hsa-miR-185-5p,SCARB1
hsa-miR-96-5p,SCARB1
hsa-miR-223-3p,SCARB1
hsa-miR-152-3p,TGFA
hsa-miR-320a,IGF1R
hsa-miR-186-5p,PTTG1
hsa-miR-222-3p,GRB10
hsa-miR-370-3p,FOXM1
hsa-miR-9-5p,PPARA
hsa-miR-127-3p,MMP13
hsa-miR-204-5p,SIRT1
hsa-miR-181a-5p,PPP3CA
hsa-miR-106a-5p,STAT3
hsa-miR-155-5p,MAPK14
hsa-miR-130a-3p,PDGFRA
hsa-miR-145-5p,SMAD3
hsa-miR-145-5p,TGFBR2
hsa-miR-210-3p,NDUFA4
hsa-miR-210-3p,SDHD
hsa-miR-18b-5p,TNRC6B
hsa-miR-24-3p,JPH2
hsa-let-7f-5p,SOCS3
hsa-let-7f-5p,ELF4
hsa-let-7f-5p,DYRK2
hsa-let-7f-5p,CCL7
hsa-miR-24-3p,DYRK2
hsa-miR-126-3p,CXCR4
hsa-miR-17-5p,ZBTB4
hsa-miR-19a-3p,ZBTB4
hsa-miR-130b-3p,PTEN
hsa-miR-506-3p,VIM
hsa-miR-200c-3p,ZNF217
hsa-miR-30a-5p,EYA2
hsa-miR-146a-5p,NUMB
hsa-miR-301a-3p,PTEN
hsa-miR-23a-3p,NEK6
hsa-miR-451a,IL6R
hsa-miR-20b-5p,PTEN
hsa-miR-125b-5p,VPS4B
hsa-miR-374a-5p,WIF1
hsa-miR-27a-3p,GATA2
hsa-miR-30e-5p,MTTP
hsa-miR-708-5p,NNAT
hsa-miR-124-3p,RGS4
hsa-miR-221-3p,PAK1
hsa-miR-762,IFITM5
hsa-miR-25-3p,REV3L
hsa-miR-32-5p,REV3L
hsa-miR-524-5p,WEE1
hsa-miR-10a-5p,BCL2L11
hsa-miR-433-3p,CREB1
hsa-miR-30b-5p,MBNL1
hsa-miR-30e-5p,MBNL1
hsa-miR-20a-5p,ANKH
hsa-miR-363-3p,SOX4
hsa-miR-15a-5p,HSPA1B
hsa-miR-33a-5p,CDK16
hsa-miR-129-5p,APC
hsa-miR-203a-3p,KIF5B
hsa-miR-204-5p,TXNIP
hsa-miR-211-5p,TXNIP
hsa-miR-135a-5p,TXNIP
hsa-miR-27a-3p,WNK1
hsa-miR-30a-5p,IL21R
hsa-miR-106a-5p,RBL2
hsa-miR-181c-5p,PRKCD
hsa-miR-142-3p,APC
hsa-miR-124-3p,PIM1
hsa-miR-542-3p,PIM1
hsa-miR-409-3p,CTNND1
hsa-miR-27b-3p,FOXJ3
hsa-miR-29a-3p,NFIA
hsa-miR-34a-3p,BCL2
hsa-miR-106b-5p,CASP8
hsa-miR-101-3p,TET2
hsa-miR-29b-3p,TET2
hsa-miR-29c-3p,TET2
hsa-miR-26a-5p,TET2
hsa-miR-182-5p,ARRDC3
hsa-miR-142-3p,LPP
hsa-miR-98-5p,EDN1
hsa-miR-378a-3p,IGF1R
hsa-miR-30a-5p,UBE3C
hsa-miR-206,NRP1
hsa-miR-22-3p,SIRT1
hsa-miR-222-3p,ARID1A
hsa-miR-30a-5p,MBNL2
hsa-miR-30b-5p,MBNL2
hsa-miR-30e-5p,MBNL2
hsa-miR-200b-3p,FOXG1
hsa-miR-374a-5p,CEBPB
hsa-miR-99a-5p,TRIB2
hsa-miR-3163,SKP2
hsa-miR-138-5p,EIF4EBP1
hsa-miR-18a-5p,SMAD2
hsa-miR-181b-5p,MAP2K1
hsa-miR-124-3p,GRIA2
hsa-miR-124-3p,GRIA3
hsa-let-7c-5p,MTOR
hsa-let-7c-5p,RICTOR
hsa-miR-16-5p,RICTOR
hsa-miR-199a-5p,LIN7A
hsa-miR-199a-5p,ARHGAP12
hsa-miR-199a-5p,CTSC
hsa-miR-199a-5p,RND1
hsa-miR-199a-5p,NECTIN1
hsa-miR-137,FMNL2
hsa-miR-137,RORA
hsa-miR-148a-3p,MAFB
hsa-miR-30c-5p,MTTP
hsa-miR-561-3p,NR0B1
hsa-miR-664a-3p,MAT1A
hsa-miR-485-3p,MAT1A
hsa-miR-495-3p,MAT1A
hsa-miR-182-5p,ATF1
hsa-miR-182-5p,BARD1
hsa-miR-182-5p,CREB5
hsa-miR-182-5p,RAD17
hsa-miR-182-5p,TP53BP1
hsa-miR-182-5p,CHEK2
hsa-miR-182-5p,CDKN1B
hsa-miR-182-5p,SMARCD3
hsa-miR-24-3p,MMP14
hsa-miR-146a-5p,CCL5
hsa-miR-31-5p,RHOBTB1
hsa-miR-29a-3p,COL5A2
hsa-miR-29a-3p,COL10A1
hsa-miR-29a-3p,FBN1
hsa-miR-29a-3p,SERPINH1
hsa-miR-29a-3p,LOX
hsa-miR-29a-3p,PDGFRB
hsa-miR-29b-3p,COL5A2
hsa-miR-29b-3p,COL10A1
hsa-miR-29b-3p,SPARC
hsa-miR-29b-3p,FBN1
hsa-miR-29b-3p,LOX
hsa-miR-29b-3p,PDGFRB
hsa-miR-29c-3p,COL5A2
hsa-miR-29c-3p,COL10A1
hsa-miR-29c-3p,SERPINH1
hsa-miR-29c-3p,LOX
hsa-miR-29c-3p,PDGFRB
hsa-miR-767-5p,COL3A1
hsa-miR-767-5p,COL4A1
hsa-miR-767-5p,COL4A2
hsa-miR-767-5p,COL5A2
hsa-miR-767-5p,COL10A1
hsa-miR-767-5p,SPARC
hsa-miR-767-5p,FBN1
hsa-miR-767-5p,SERPINH1
hsa-miR-767-5p,LOX
hsa-miR-767-5p,MMP2
hsa-miR-767-5p,PDGFRB
hsa-miR-140-5p,RALA
hsa-miR-202-3p,HAS2
hsa-miR-190b,MTMR6
hsa-miR-206,VAMP2
hsa-miR-1-3p,TH
hsa-miR-10b-5p,DDX58
hsa-miR-330-3p,SP1
hsa-miR-137,SERPINA3
hsa-let-7c-5p,CEBPB
hsa-miR-125a-5p,LFNG
hsa-miR-214-3p,LTF
hsa-miR-558,PTGS2
hsa-miR-125a-3p,FYN
hsa-miR-150-5p,COL4A4
hsa-miR-150-5p,SP1
hsa-miR-135a-5p,IRS2
hsa-miR-324-3p,WNT2B
hsa-miR-96-5p,IARS
hsa-miR-212-3p,SOD2
hsa-miR-205-5p,ESRRG
hsa-miR-146a-5p,PTGES2
hsa-miR-455-3p,MUC1
hsa-miR-886-3p,PLK1
hsa-miR-29b-3p,IL32
hsa-miR-370-3p,LIN28A
hsa-miR-17-5p,ADAR
hsa-miR-432-5p,ADAR
hsa-miR-378a-3p,KSR1
hsa-miR-378a-3p,MAPK1
hsa-miR-184,AGO2
hsa-miR-23b-3p,MARCKS
hsa-miR-1-3p,ASPH
hsa-miR-146a-5p,CNOT6L
hsa-miR-9-5p,HDAC4
hsa-miR-483-5p,ALCAM
hsa-miR-373-3p,LEFTY2
hsa-miR-196a-5p,TYMS
hsa-miR-196a-5p,NRP2
hsa-miR-196a-5p,LSP1
hsa-miR-216b-5p,BECN1
hsa-miR-502-5p,TRAF2
hsa-miR-9-5p,DRD2
hsa-miR-200b-3p,CDKN1B
hsa-miR-27b-3p,DPYD
hsa-miR-27a-3p,DPYD
hsa-miR-641,SNAP25
hsa-miR-23b-3p,RRAS2
hsa-miR-122-5p,MEF2D
hsa-miR-485-5p,APOA5
hsa-miR-218-5p,EGFR
hsa-miR-198,FGFR1
hsa-miR-214-3p,POR
hsa-miR-214-3p,GSR
hsa-miR-19a-3p,SOCS3
hsa-miR-203a-3p,KIF2A
hsa-miR-29a-3p,CDC7
hsa-miR-200a-3p,GRB2
hsa-miR-182-5p,NDRG1
hsa-miR-382-5p,DRD1
hsa-miR-326,NOB1
hsa-miR-329-3p,E2F1
hsa-miR-196b-5p,HOXB7
hsa-miR-146a-5p,PRKCE
hsa-miR-124-3p,ITGB3
hsa-miR-517a-3p,TNIP1
hsa-let-7b-5p,TLR4
hsa-miR-9-5p,MIRLET7D
hsa-miR-154-5p,CCND2
hsa-miR-125b-1-3p,TACSTD2
hsa-miR-214-3p,BAX
hsa-miR-296-5p,PIN1
hsa-miR-135a-5p,HTR1A
hsa-miR-135a-5p,SLC6A4
hsa-miR-124-3p,XRCC6
hsa-miR-125b-5p,EPOR
hsa-miR-106b-5p,MMP2
hsa-miR-184,MYC
hsa-miR-184,BCL2
hsa-miR-27a-3p,KRAS
hsa-miR-34a-5p,DGUOK
hsa-miR-194-5p,ITSN1
hsa-miR-26a-5p,PIK3C2A
hsa-miR-20a-5p,EPAS1
hsa-miR-17-5p,EPAS1
hsa-miR-135a-5p,SIAH1
hsa-miR-524-5p,CDK2
hsa-miR-524-5p,TTK
hsa-miR-99a-5p,CTDSPL
hsa-miR-126-3p,TCF4
hsa-miR-101-3p,NLK
hsa-miR-7-5p,PAX6
hsa-miR-30b-5p,BCL2
hsa-miR-27b-3p,SHC1
hsa-miR-27b-3p,THBS2
hsa-miR-27b-3p,THBS1
hsa-miR-138-5p,TWIST2
